Id,Sales
1,4317.365
2,6982.9326
3,8658.96
4,5684.5547
5,6318.2812
6,5443.938
7,7859.2085
8,7409.5586
9,4947.648
10,5528.885
11,6441.5493
12,7611.2715
13,6482.2046
14,7683.1978
15,5339.533
16,4433.981
17,5450.0405
18,9174.454
19,10933.198
20,9244.368
21,6990.5073
22,5105.001
23,5530.0977
24,4071.8335
25,7846.1304
26,9438.219
27,8641.639
28,5624.165
29,4919.848
30,4451.0566
31,4958.8115
32,9779.476
33,6850.804
34,4949.3545
35,5017.892
36,7079.465
37,3961.6482
38,6793.5293
39,4040.5737
40,6021.796
41,6946.0005
42,5200.9917
43,6618.5293
44,6064.757
45,4316.842
46,6652.724
47,6437.3477
48,9666.982
49,5651.6074
50,7823.0845
51,6833.822
52,9079.747
53,6526.349
54,8895.461
55,4465.226
56,4610.7725
57,6129.5474
58,5547.4453
59,8432.61
60,7125.0903
61,5367.47
62,6935.0664
63,6281.7866
64,9162.1875
65,3929.7002
66,12620.497
67,4550.1235
68,5875.095
69,7949.224
70,5362.3584
71,5819.827
72,6109.096
73,7048.0923
74,4829.3394
75,4678.0024
76,7394.254
77,7231.0234
78,6804.937
79,4368.1836
80,6967.9697
81,10081.85
82,6420.304
83,4493.3735
84,6253.892
85,5846.9927
86,6683.9736
87,6724.202
88,3919.2888
89,7268.3276
90,5890.283
91,6913.902
92,6353.018
93,4399.865
94,6300.0293
95,4848.905
96,6898.0786
97,8805.428
98,4900.0522
99,4995.767
100,5694.139
101,5527.846
102,5313.0444
103,8007.092
104,6475.2197
105,7309.6187
106,5461.2188
107,4574.3145
108,6117.94
109,7498.2085
110,8133.827
111,7565.279
112,7820.551
113,5496.608
114,8058.3877
115,5603.3364
116,7184.8086
117,8376.65
118,6340.553
119,9524.459
120,7398.6465
121,7449.547
122,5554.403
123,6838.9897
124,7423.6367
125,6367.899
126,3977.0293
127,5516.1978
128,7559.9336
129,6918.27
130,4874.239
131,8313.198
132,6431.2217
133,5492.645
134,5380.8027
135,5259.3657
136,6978.766
137,6828.032
138,6498.098
139,4936.112
140,4721.478
141,6439.9575
142,3584.3545
143,6271.689
144,4735.873
145,8281.187
146,7077.949
147,6313.1494
148,8049.031
149,5284.88
150,4487.861
151,9962.451
152,6706.004
153,7709.605
154,7549.41
155,4889.8813
156,5630.449
157,5402.477
158,7111.9106
159,10711.7
160,5752.173
161,3083.4639
162,4626.9033
163,7917.7344
164,8679.56
165,5888.339
166,7140.805
167,4561.871
168,5154.628
169,3100.6125
170,4846.2334
171,5683.615
172,6214.97
173,7146.763
174,5965.1333
175,7426.3774
176,8238.006
177,7015.113
178,4404.214
179,9072.239
180,10760.826
181,5938.196
182,7533.1177
183,4693.3774
184,6358.2812
185,3994.2017
186,7013.3623
187,4929.203
188,8442.823
189,6827.548
190,8234.855
191,8086.712
192,5232.37
193,7926.877
194,18529.977
195,10217.556
196,5690.0386
197,3068.0005
198,5818.2905
199,9251.773
200,5578.3945
201,10791.275
202,20365.934
203,3585.8835
204,5026.8926
205,8400.94
206,4910.911
207,9145.312
208,6440.7554
209,6876.0186
210,3683.6511
211,7010.457
212,6399.6157
213,7062.1035
214,8117.985
215,5924.644
216,5427.652
217,6517.4346
218,5044.9688
219,4662.9097
220,7437.8643
221,5543.571
222,5908.3247
223,7168.111
224,5756.8315
225,5156.4795
226,6925.7173
227,6906.771
228,7865.0093
229,5982.2207
230,6593.923
231,5517.042
232,3516.227
233,6151.4834
234,6879.261
235,4974.626
236,4338.443
237,9101.149
238,6836.701
239,8627.982
